compound,technique,wavenumber,intensity
CCl4,IR,3313.69281,0.113967232
CCl4,IR,3311.63589,0.113985603
CCl4,IR,3309.57898,0.114048611
CCl4,IR,3307.52206,0.114085382
CCl4,IR,3305.46514,0.114069621
CCl4,IR,3303.40823,0.11403023
CCl4,IR,3301.35131,0.113982978
CCl4,IR,3299.29439,0.113917383
CCl4,IR,3297.23748,0.113891156
CCl4,IR,3295.18056,0.113930499
CCl4,IR,3293.12364,0.113930499
CCl4,IR,3291.06673,0.113901646
CCl4,IR,3289.00981,0.11394624
CCl4,IR,3286.95289,0.113969856
CCl4,IR,3284.89597,0.113917383
CCl4,IR,3282.83906,0.113904269
CCl4,IR,3280.78214,0.113867556
CCl4,IR,3278.72522,0.113710351
CCl4,IR,3276.66831,0.113652763
CCl4,IR,3274.61139,0.113767968
CCl4,IR,3272.55447,0.113854447
CCl4,IR,3270.49756,0.113901646
CCl4,IR,3268.44064,0.113961984
CCl4,IR,3266.38372,0.113990852
CCl4,IR,3264.32681,0.11397248
CCl4,IR,3262.26989,0.113951488
CCl4,IR,3260.21297,0.11395936
CCl4,IR,3258.15606,0.113980354
CCl4,IR,3256.09914,0.113993477
CCl4,IR,3254.04222,0.11397248
CCl4,IR,3251.98531,0.114003977
CCl4,IR,3249.92839,0.114116909
CCl4,IR,3247.87147,0.114143188
CCl4,IR,3245.81456,0.114027604
CCl4,IR,3243.75764,0.11391476
CCl4,IR,3241.70072,0.113922629
CCl4,IR,3239.64381,0.114001352
CCl4,IR,3237.58689,0.114048611
CCl4,IR,3235.52997,0.114066995
CCl4,IR,3233.47306,0.114111654
CCl4,IR,3231.41614,0.114135304
CCl4,IR,3229.35922,0.11414056
CCl4,IR,3227.30231,0.114135304
CCl4,IR,3225.24539,0.114072248
CCl4,IR,3223.18847,0.114011852
CCl4,IR,3221.13156,0.113993477
CCl4,IR,3219.07464,0.113982978
CCl4,IR,3217.01772,0.113930499
CCl4,IR,3214.96081,0.113849204
CCl4,IR,3212.90389,0.113825614
CCl4,IR,3210.84697,0.113896401
CCl4,IR,3208.79006,0.11397248
CCl4,IR,3206.73314,0.114003977
CCl4,IR,3204.67622,0.114027604
CCl4,IR,3202.61931,0.114027604
CCl4,IR,3200.56239,0.114017102
CCl4,IR,3198.50547,0.114056489
CCl4,IR,3196.44856,0.114106399
CCl4,IR,3194.39164,0.114088009
CCl4,IR,3192.33472,0.114019728
CCl4,IR,3190.27781,0.114006602
CCl4,IR,3188.22089,0.114066995
CCl4,IR,3186.16397,0.114119537
CCl4,IR,3184.10706,0.114103772
CCl4,IR,3182.05014,0.114019728
CCl4,IR,3179.99322,0.11395936
CCl4,IR,3177.93631,0.113954112
CCl4,IR,3175.87939,0.113917383
CCl4,IR,3173.82247,0.113802028
CCl4,IR,3171.76556,0.11372868
CCl4,IR,3169.70864,0.113778447
CCl4,IR,3167.65172,0.113859691
CCl4,IR,3165.59481,0.113906891
CCl4,IR,3163.53789,0.113967232
CCl4,IR,3161.48097,0.11403023
CCl4,IR,3159.42406,0.114009227
CCl4,IR,3157.36714,0.113977729
CCl4,IR,3155.31022,0.114051237
CCl4,IR,3153.25331,0.114198395
CCl4,IR,3151.19639,0.114287833
CCl4,IR,3149.13947,0.114229953
CCl4,IR,3147.08256,0.114148445
CCl4,IR,3145.02564,0.114132676
CCl4,IR,3142.96872,0.114074875
CCl4,IR,3140.91181,0.113998727
CCl4,IR,3138.85489,0.114040733
CCl4,IR,3136.79797,0.114072248
CCl4,IR,3134.74106,0.113975105
CCl4,IR,3132.68414,0.113954112
CCl4,IR,3130.62722,0.114056489
CCl4,IR,3128.57031,0.114151073
CCl4,IR,3126.51339,0.114214173
CCl4,IR,3124.45647,0.114227323
CCl4,IR,3122.39956,0.114169474
CCl4,IR,3120.34264,0.114064368
CCl4,IR,3118.28572,0.113985603
CCl4,IR,3116.22881,0.113969856
CCl4,IR,3114.17189,0.113920006
CCl4,IR,3112.11497,0.113875422
CCl4,IR,3110.05806,0.113954112
CCl4,IR,3108.00114,0.114077501
CCl4,IR,3105.94422,0.114088009
CCl4,IR,3103.88731,0.114022353
CCl4,IR,3101.83039,0.114032856
CCl4,IR,3099.77347,0.114116909
CCl4,IR,3097.71655,0.114119537
CCl4,IR,3095.65964,0.114066995
CCl4,IR,3093.60272,0.114088009
CCl4,IR,3091.5458,0.114114281
CCl4,IR,3089.48889,0.114032856
CCl4,IR,3087.43197,0.11391476
CCl4,IR,3085.37505,0.113864934
CCl4,IR,3083.31814,0.113904269
CCl4,IR,3081.26122,0.114003977
CCl4,IR,3079.2043,0.114103772
CCl4,IR,3077.14739,0.114145817
CCl4,IR,3075.09047,0.114119537
CCl4,IR,3073.03355,0.114053863
CCl4,IR,3070.97664,0.11395936
