Index,m/z,stddev,PeakHeight,C,H,Neutral H,O,m/z2,stddev2,O/C,H/C,DBE,AI mod,Neutral Mass,KM(CH2),KMD(CH2),KM(COO),KMD(COO),KM(H2O),KMD(H2O),KM(H2),KMD(H2),KM(O),KMD(O),KM(C2H4O),KMD(C2H4O),KM(OCH2),KMD(OCH2),KMD(CH2),KMD(COO),KMD(H2O),KMD(H2),KMD(O),KMD(C2H4O),KMD(OCH2),see comment,Neutral Mass
255,289.035388,1,28328277,14,9,10,7,289.035376,0,0.5,0.714285714,10,0.619047619,290.0426527,289,0.718787,290,0.1097125,289,0.8725186,287,0.7906813,290,0.134868,289,0.8699511,289,0.9405483,7,5,5,6,8,4,8,1,508.1005615
257,289.071824,1,12996954,15,13,14,6,289.071762,0.2,0.4,0.933333333,9,0.5,290.0790382,289,0.755132,290,0.1461064,289,0.9088828,287,0.8267843,290,0.171265,289,0.9063149,289,0.976921,7,5,4,5,9,4,6,1,506.0849114
261,291.014665,1,4438103,13,7,8,8,291.014641,0.1,0.615384615,0.615384615,10,0.666666667,292.0219172,291,0.695841,292,0.0894347,291,0.8506222,289,0.7545783,292,0.1147618,291,0.8480371,291,0.9191161,9,4,5,6,7,4,7,1,504.1056469
263,291.051042,1,20832860,14,11,12,7,291.051026,0.1,0.5,0.857142857,9,0.523809524,292.0583027,291,0.732186,292,0.1258286,291,0.8869863,289,0.7906813,292,0.1511589,291,0.8844009,291,0.9554888,8,5,4,6,9,4,7,1,492.0692614
264,291.087429,1,4419168,15,15,16,6,291.087412,0.1,0.4,1.066666667,8,0.416666667,292.0946882,291,0.768531,292,0.1622225,291,0.9233505,289,0.8267843,292,0.187556,291,0.9207648,291,0.9918614,5,5,4,5,9,3,4,1,486.079826
268,293.03028,1,9194337,13,9,10,8,293.030291,0,0.615384615,0.769230769,9,0.555555556,294.0375673,293,0.70924,294,0.1055508,293,0.8650899,291,0.7545783,294,0.1310527,293,0.862487,293,0.9340565,8,4,5,6,8,5,6,1,484.064176
270,293.045625,1,1633635,17,9,10,5,293.045547,0.3,0.294117647,0.588235294,13,0.724137931,294.0528234,293,0.72448,294,0.1208104,293,0.8803371,291,0.7697160,294,0.1463137,293,0.877734,293,0.9493073,6,5,6,5,9,5,8,1,482.0849114
271,293.066671,1,11264870,14,13,14,7,293.066676,0,0.5,1,8,0.428571429,294.0739528,293,0.745585,294,0.1419447,293,0.9014541,291,0.7906813,294,0.1674498,293,0.8988508,293,0.9704292,6,4,4,6,9,3,5,1,478.0899968
275,295.009585,1,2423402,12,7,8,9,295.009555,0.1,0.75,0.666666667,9,0.6,296.0168319,295,0.686295,296,0.085273,295,0.8431934,293,0.7184753,296,0.1109466,295,0.840573,295,0.9126243,8,2,4,4,4,4,6,1,468.0692614
276,295.024841,1,1487980,16,7,8,6,295.024812,0.1,0.375,0.5,13,0.769230769,296.032088,295,0.701534,296,0.1005326,295,0.8584406,293,0.7336130,296,0.1262075,295,0.8558201,295,0.9278751,8,3,5,6,6,5,9,1,442.0536113
